小区名称,均价(元/㎡),地址,板块,建成年份,在售套数
船舶设备公司家属院,9304,高新-公交五公司 太白南路318号云城大酒店院内,公交五公司,1997,0
长安居,27638,高新-唐延路 高新一路南段126号,唐延路,2009,0
创业商务公寓,11908,高新-高新四路 高新区西安科技路48号,高新四路,2009,0
长安农驾校家属院,11288,高新-西万路口 子午大道与韦郭大道十字东北,西万路口,2009,0
创汇社区(D区),,高新-锦业路 定昆池二路,锦业路,,0
CCmall,,高新-软件园 丈八北路138号,软件园,2017,0
电信高层,15136,高新-高新一中 高新区科技路与高新路十字西南角,高新一中,2009,0
地税局家属院,7547,高新-高新四路 西安市雁塔区科技路19号,高新四路,2009,0
导航家园,13206,高新-徐家庄 光华路1号,徐家庄,1993,0
大寨路新华小区,6998,高新-科技路西口 丈八北路6号,科技路西口,2000,0
大寨子村小区,,高新-大寨路 大寨路,大寨路,,0
东滩社区北区,,高新-锦业路 丈八西路,锦业路,1994,0
电子科技集团第二十研究所家属院,,"高新-徐家庄 二环南路,近白沙路",徐家庄,2001,0
导航所小区北区,,高新-徐家庄 高新路,徐家庄,,0
二十所社区,12068,高新-徐家庄 光华路1号,徐家庄,1998,0
枫景观天下,29021,高新-高新一中 高新4路30号,高新一中,2008,0
枫叶大厦,17753,高新-高新一中 高新路63号,高新一中,2003,0
沣惠南路130号,7600,高新-科技路西口 西安市高新区科技路与沣惠南路交汇处向北500..,科技路西口,2002,0
付三号院,,高新-徐家庄 高新路,徐家庄,1998,0
高新尊贵壹方,13040,高新-软件园 科技路与丈八北路交汇向南300米,软件园,,0
高新·云熙港,23091,高新-大学城 三期规划六路与规划十六路交汇处,大学城,,0
高新尚品,21000,高新-科技六路 经五路与科技七路十字东南角,科技六路,2023,0
高科·云天,30291,高新-软件新城 天谷三路与云水三路十字交汇处东北角,软件新城,2025,0
高新水晶岛,9887,高新-科技六路 沣惠南路38号,科技六路,2004,0
高新未未来,10617,高新-锦业路 硕士路33号,锦业路,2015,0
高新尊寓,22798,高新-高新四路 南二环与群贤路交汇处向南300米,高新四路,2018,0
高新智尚,15272,高新-科技路西口 科技路与丈八北路十字向南350米,科技路西口,2023,0
高新有色金属家属院,16394,高新-高新一中 高新路南段20米,高新一中,1999,0
高新邮政家属院,19830,高新-高新一中 科技路世纪金花对面,高新一中,2009,0
光电园,12292,高新-软件园 科技二路77号,软件园,2010,0
高新科技花园,27200,高新-科技六路 沣惠南路与科技七路的交汇处水晶岛酒店西侧,科技六路,2013,0
高新花园,11630,高新-锦业路 丈八西路101号,锦业路,2004,0
保利云谷天汇,,"高新- 高新区丝路软件城富鱼路以南,天谷二路以北,云..",高新,2026,0
龙湖 高新云河颂,,高新- 高新区中央创新区纬二十八路以南、经二十路以西..,高新,2025,0
高新玖号院,,"高新- 高新区鱼化街道经十三路以东、科技六路以北,绍..",高新,,0
高科广场小区,,高新-高新四路 高新四路1号,高新四路,2002,0
环亚花园,25435,高新-高新一中 科技一路附10号,高新一中,2006,0
汇鑫温泉都市庭院,15974,高新-高新四路 高新南二环高新四路3号,高新四路,2009,0
汇翔苑,13394,高新-高新一中 科技一路副2号,高新一中,2000,0
汇鑫花园,11730,高新-高新四路 二环南路西段202号,高新四路,2011,0
含光路中段甲字29号,21041,高新-高新一中 含光路中段甲字29号,高新一中,2009,0
海关家属院,27020,高新-高新一中 崇业路25号,高新一中,2005,0
瀚源国际,15765,高新-徐家庄 高新科创路与太白南路十字西北角,徐家庄,2015,0
黄冠小区,,高新-高新四路 (碑林) 和平路黄冠小区,高新四路,,0
红叶大厦小区,,高新-高新四路 高新四路和科技路十字,高新四路,1998,0
汇鑫温泉高级小区,,高新-高新四路 二环南路西段6号,高新四路,2015,0
华奥大厦小区,,高新-徐家庄 高新科技路10号,徐家庄,2004,0
海星广场小区,,高新-高新四路 科技路与高新二路交汇处,高新四路,2001,0
锦悦府,16290,高新-锦业路 锦业二路与丈八六路十字东南角,锦业路,,0
捷瑞小区,10593,高新-高新四路 二环南路西段208号,高新四路,2010,0
九座花园,8062,高新-高新四路 二环南路西段202号,高新四路,2006,0
嘉天国际,11680,高新-徐家庄 太白南路216号,徐家庄,2007,0
锦业76,14426,高新-锦业路 锦业路76号(绿地世纪城斜对面),锦业路,2011,0
金泰怡景花园,9863,高新-鱼化寨 西高新科技路西延长线(规划中西安地铁三号线西..,鱼化寨,2014,0
锦都荟,16055,高新-锦业路 锦业路与丈八六路十字西北角处,锦业路,2015,0
杰座公寓,23042,高新-科技路西口 科技路枫叶新都市北门,科技路西口,2003,0
蒋家寨小区,9346,高新-高新一中 博文路51号,高新一中,2009,0
焦化佳苑,11358,高新-大寨路 丈八北路北段(花市对面),大寨路,1999,0
锦江小区,14385,高新-徐家庄 南二环和高新路十字东,徐家庄,2009,0
交警支队家属院,14297,高新-徐家庄 科技路56号,徐家庄,2005,0
锦业居,12824,高新-锦业路 艺术大街西段56号,锦业路,2009,0
九树公寓,41550,高新-高新一中 科技二路61号,高新一中,2019,0
焦化嘉苑,8665,高新-大寨路 (雁塔) 丈八北路831号,大寨路,1999,0
净化小区,,高新-高新四路 怀德北巷288号,高新四路,2015,0
科技路家属楼,21299,高新-徐家庄 科技路与白沙路交汇处,徐家庄,2005,0
科创路天然气家属院,32621,高新-高新一中 科创路030号,高新一中,2009,0
科技路副三号院,12860,高新-徐家庄 二环南路西段150号市政小区隔壁,徐家庄,,0
昆明路造纸厂家属院,5890,高新-大寨路 西安市昆明路与团结南路交汇处向南200米路西,大寨路,1998,0
蓝城环球中心,43317,高新-高新四路 高新科技路与高新四路十字东北角(香格里拉酒店..,高新四路,,0
丽湾蓝岛,9798,高新-徐家庄 科创路3号,徐家庄,2004,0
廊桥逸景,19744,高新-科技六路 城西西户路口北靠312国道南邻西户路,科技六路,2009,0
绿地诺丁山,40047,高新-锦业路 锦业路1号诺丁山,锦业路,2012,0
莱安星座,12991,高新-科技路西口 大寨路6号(大寨路与唐延路什字向西300米),科技路西口,2015,0
燎原小学家属院,7911,高新-徐家庄 (雁塔) 科技路燎原小学家属院,徐家庄,1995,0
龙湖·青云阙 昱府,,高新- 高新区兴隆街道规划二路以西、经三十四路以东、..,高新,2025,0
领先时代广场小区,,高新-唐延路 高新路86号,唐延路,2000,0
绿城秋月苑,,高新-软件新城 科技四路与丈八北路交汇处,软件新城,2026,0
绿地都市之门,,高新-高新路,高新路,,0
里花水社区,,高新-锦业路 丈八六路,锦业路,2001,0
亮丽住宅楼,,"高新-唐延路 唐延路以东,科技四路以南",唐延路,,0
玫瑰大楼,16369,高新-高新四路 科技路25号,高新四路,2000,0
摩登BOBO,12727,高新-徐家庄 白沙路3号,徐家庄,2005,0
名园新居,17645,高新-徐家庄 科技路10号,徐家庄,2005,0
