名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
逸翠尚府,19182,高新-锦业路 西安市高新区丈八二路33号,108.874916,34.176503,高新二期,二手房,2013,11
左岸春天,10492,高新-科技路西口 鱼斗路18号西安外事学院北门对面,108.862335,34.228289,高新一期,二手房,2011,11
爱西华庭,10198,高新-大寨路 丈八北路709号,108.866903,34.242210,高新一期,二手房,2006,10
城市风景都市印象,20068,高新-科技路西口 科技路82号,108.867138,34.228754,高新一期,二手房,2009,10
枫叶新新家园,36642,高新-高新一中 科技二路58号,108.885921,34.218353,高新二期,二手房,2004,10
高新第五季,11379,高新-西万路口 西沣路与锦业二路十字东北角(高新国际学校对面..,108.883207,34.178247,高新二期,二手房,2015,10
高科朗山,28616,高新-科技六路 科技7路12号,108.874184,34.201214,高新二期,二手房,2016,10
鸿基新城,13094,高新-软件园 西三环以东,108.857747,34.212517,软件新城,二手房,2013,10
尚品美地城,15789,高新-锦业路 锦业路西口(锦业路与西三环十字东北角),108.842578,34.188708,高新二期,二手房,2015,10
泰祥花园,21676,高新-高新一中 高新路与科创路十字向南100米,108.896440,34.219932,高新一期,二手房,1998,10
西港雅苑,15377,高新-锦业路 锦业路40号,108.883689,34.227024,高新二期,二手房,2011,10
高科新花园,19844,高新-科技路西口 高新开发区团结南路2号,108.874462,34.228491,高新一期,二手房,2002,9
华洲城云顶,15567,高新-大寨路 石桥路325号,108.839616,34.236619,高新一期,二手房,2021,9
恒大阳光馨苑,10395,高新-大寨路 昆明路430号,108.856869,34.245565,高新一期,二手房,2012,9
九形道,11625,高新-大寨路 团结南路28号,108.874564,34.241437,高新一期,二手房,2014,9
利君明天,14054,高新-软件园 唐兴路与丈八路交汇处东南角,108.867076,34.224852,软件新城,二手房,2007,9
南飞鸿天锦,15729,高新-鱼化寨 鱼斗路241号,108.840917,34.220172,高新二期,二手房,2016,9
卓越坊,15373,高新-鱼化寨 科技西路与富源二路交汇处向北300米,108.825858,34.237313,高新二期,二手房,2020,9
高科花园,20999,高新-高新四路 西安高新技术产业开发区科技路,108.887929,34.226365,高新一期,二手房,1998,8
鸿锦城罗曼尼,17326,高新-鱼化寨 富鱼路与西三环路交叉口东南角,108.839163,34.223503,高新二期,二手房,2019,8
南飞鸿蓝庭序,16477,高新-鱼化寨 西三环以东,108.840231,34.215497,高新二期,二手房,2023,8
天地源·永安华府,23355,高新-郭杜 中央创新区经二十六路和纬三十路交汇东南角,108.821553,34.142738,高新三期,二手房,2025,8
万家灯火,12389,高新-锦业路 陕西省西安市雁塔区丈八六路辅路,108.849398,34.197416,高新二期,二手房,2012,8
永和璞玉,17898,高新-软件园 丈八北路与科技四路十字向南50米路东,108.867678,34.211938,软件新城,二手房,2016,8
招商云兰,22929,高新-CID中央创新区 丝路创新区经二十六路西侧,108.811070,34.128838,高新二期,二手房,,8
大华阳光曼哈顿,16515,高新-科技六路 太白南路118号,108.900531,34.206681,高新二期,二手房,2007,7
枫叶苑北区,32631,高新-高新一中 枫叶北路1号,108.893365,34.225105,高新二期,二手房,2000,7
卡布奇诺公馆,11206,高新-大寨路 民洁路1号,108.869761,34.241633,高新一期,二手房,2012,7
科技路金茂府,22344,"高新-鱼化寨 雁塔区未来产业城科技西路以北,西余铁路以南,..",108.807953,34.232090,高新二期,二手房,2026,7
昆明时光3区,,高新-沣东新城 昆明路,108.825688,34.247587,其他,二手房,2014,7
荣兴云天,12179,高新-锦业路 西安市高新技术产业开发区创汇路1号,108.858529,34.157706,高新二期,二手房,2010,7
上上城,14787,高新-徐家庄 科技路与太白南路十字(向南200米路西),108.908109,34.217713,高新二期,二手房,2013,7
天正幸福里,10523,高新-西万路口 太白南路39号,108.887675,34.187289,高新二期,二手房,2010,7
腾业南院,13622,高新-锦业路 高新区锦业二路84号,108.853445,34.175715,高新二期,二手房,2012,7
唐延九珺,23974,高新-科技六路 高新丈八东路与高新路朝南延伸段交汇处,108.886302,34.193758,高新一期,二手房,2018,7
旺座现代城,13135,高新-唐延路 唐延路35号,108.884851,34.209708,高新二期,二手房,2009,7
新城首府,18819,高新-西沣路 西沣路与西部大道交汇处向东500米,108.879136,34.164080,高新二期,二手房,2023,7
银领花园,10133,高新-软件园 鱼斗路116号,108.845859,34.225057,软件新城,二手房,2007,7
保利天汇,23069,高新-软件新城 丝路软件新城 天谷五路与云水六路交汇处,108.814580,34.212608,软件新城,二手房,2025,6
八号府邸,29903,高新-科技六路 丈八东路与科技七路交叉口东北50米,108.870089,34.202431,高新二期,二手房,2012,6
高新水晶城,16965,高新-高新一中 高新路69号,108.892669,34.218412,高新一期,二手房,2013,6
海棠别馆,13562,高新-锦业路 锦业二路86号,108.851571,34.175695,高新二期,二手房,2011,6
皇家花园,19763,高新-高新一中 高新高新路50号,108.897890,34.222445,高新一期,二手房,2010,6
罗马西西里,12574,高新-锦业路 丈八六路与西户公路交叉口西侧,108.847725,34.197574,高新二期,二手房,2015,6
米罗蓝山,12375,高新-科技路西口 高新六路2号,108.870130,34.230475,高新一期,二手房,2007,6
美寓华庭,10537,高新-锦业路 科技八路104号,108.845688,34.197049,高新二期,二手房,2013,6
恬静园,9035,高新-科技路西口 唐延路北段112号,108.881023,34.237240,高新一期,二手房,2010,6
西安锦都,13376,高新-高新四路 群贤路6号,108.885208,34.235555,高新一期,二手房,2004,6
新西蓝二期,10880,高新-高新四路 西安市雁塔区高新四路8号,108.889185,34.231335,高新一期,二手房,2007,6
越秀铁建·樽樾,26969,高新-郭杜 祝仁路与星桥路交汇处西北角,108.831857,34.152293,高新三期,二手房,,6
自在山,28073,高新-高新四路 高新区唐兴路5号,108.887156,34.227601,高新一期,二手房,2014,6
枫叶别墅苑,27868,高新-高新一中 高新二路与科技一路交汇处,108.891974,34.222768,高新二期,二手房,1996,6
绿地诺丁山别墅,36496,高新-锦业路 高新区锦业路与丈八二路十字北50米,108.872168,34.191243,高新二期,二手房,2011,6
枫叶新家园,25196,高新-高新一中 高新区高新二路和科技二路交接处,108.887002,34.220443,高新二期,二手房,2003,5
枫叶高层,19477,高新-徐家庄 高新路45号,108.899310,34.226446,高新一期,二手房,2001,5
丰硕佳园,10854,高新-西万路口 子午大道2036号,108.896738,34.186394,高新二期,二手房,2016,5
高科·枫林九里|檀阅里,14660,高新-科技路西口 科技路,108.837129,34.224571,高新一期,二手房,2026,5
花园印象,27703,高新-高新一中 西安市高新区高新一路7号,108.894954,34.223654,高新二期,二手房,2004,5
晶城秀府,14207,高新-西万路口 丈八东路288号,108.891575,34.190761,高新二期,二手房,2015,5
